name,idea,website,industry
Gumbul Technologies Private Limited,"GenieJi is India's first AI Commerce company. We equip supermarkets with a unique operating model and an AI, IoT led logistics technology which enables our operating model

",www.genieji.com,AI
VBEST EDUCATION PRIVATE LIMITED,"Vbest Education Pvt. Ltd. is an EdTech platform focused on improving conceptual learning and performance analytics for students from school level to competitive exam preparation.

The platform provides structured topic-wise learning modules, and advanced analytics that track student performance from topic level → Chapter → subject level → academic level → institutional level.

Vbest Education has developed two specialized Platforms:

A. Student Learning Platform
	Students can enroll individually and access concept-based learning material, competitive exam preparation modules (EAMCET, ECET, etc.), practice tests, and performance analytics.

B. Institutional Academic Analytics Platform
	Schools, colleges, and coaching institutions can purchase the institutional software which provides deep academic analytics, including topic-level performance insights, student progress tracking, and institutional learning insights.

The goal of Vbest Education is to improve academic outcomes through data-driven learning and analytics.
",https://www.vbesteducation.com/,Education
MAHIRDONZ IRRIGATIONS PRIVATE LIMITED,Mahirdonz Irrigations Private Limited is an agri-tech startup enabling farmers to easily claim government subsidies. The company has supported 1000+ farmers within one year and is now addressing payment transparency issues by building a digital platform for tracking subsidy status and ensuring efficient fund disbursement.,https://mahirdonz.com,Agriculture
BLIMBEE TECH PRIVATE LIMITED,"BlimBee is an innovative technology startup focused on transforming the way learning and engagement happen in the digital age. With a strong foundation in immersive technologies, BlimBee develops cutting-edge mobile applications and platforms that combine creativity, interactivity, and education.

At its core, BlimBee aims to bridge the gap between traditional learning and modern digital experiences by leveraging Augmented Reality (AR), AI, intuitive design, and scalable tech solutions. The platform is designed to deliver engaging, user-friendly, and impactful experiences for children, educators, and brands alike.

Understanding the diversity of India, BlimBee strongly emphasizes multilingual accessibility, offering content and experiences across multiple Indian languages. This ensures that users from different regions can interact, learn, and engage in their preferred language, making the platform more inclusive and culturally relevant.

Driven by a passion for innovation and meaningful user engagement, BlimBee continuously evolves to create products that are not just functional, but memorable and enriching. Whether it's enhancing learning outcomes or building interactive brand experiences, BlimBee stands at the intersection of technology, creativity, and purpose.",https://www.blimbee.com/,Education
SKIPP TECHNOLOGIES PRIVATE LIMITED,SKIPP is a dine in food pre ordering Platform. It’s a e-commerce food tech.,theskipp.com,Food & Beverages
PROLIST PRIVATE LIMITED,"PROLIST is a platform to help people find and connect with reliable professionals like architects, Interior designers, Landscape Architects, Engineers, Contractors, Web and App developers, legal consultants, event planners, and similar service providers.
Today, most of these services still work through referrals or fragmented listings, which makes it difficult for customers to find the right professional and for professionals to get relevant opportunities. PROLIST tries to solve this by structuring how requirements are posted and how professionals are matched, so both sides can engage more efficiently.

The idea is to gradually build a more organised and transparent ecosystem for professional services, where discovery, communication and engagement become simpler and more reliable.",www.prolistindia.com,IT Services
SOVIV COLLECTIVES LLP,"Soviv Collectives LLP is a direct-to-consumer fashion and lifestyle company focused on building accessible, quality-driven apparel brands for the Indian market. The company currently operates its brand SOVIV in the intimate wear category and is in the process of launching a second brand, Peaches &amp;amp; Roses, for which trademark registration has been secured.

The business addresses the gap between affordability and quality by offering thoughtfully designed products that combine comfort, reliable materials, and practical design at accessible price points. It operates through a digital-first model across marketplaces such as Amazon and Flipkart, enabling wide customer reach without traditional retail overheads.

Soviv Collectives LLP has built a system-driven operational approach, including structured workflows for managing product variations, inventory conversion, and production tracking across multiple SKUs. An in-house quality control setup supported by dedicated machinery ensures consistent product standards before dispatch, improving reliability and customer trust.

The company also leverages customer feedback and marketplace data to continuously refine product design, sizing accuracy, and overall user experience. While currently focused on intimate wear, the company is expanding into adjacent categories such as loungewear, gymwear, and nightwear, aiming to build a broader fashion and lifestyle portfolio.

Through this combination of product focus, operational control, and data-driven improvements, Soviv Collectives LLP is building a scalable and differentiated presence in the Indian fashion and lifestyle market.",https://www.soviv.in,Fashion
KRINSYS TECHNOLOGIES PRIVATE LIMITED,"KrinSys Technologies Private Limited is a technology-driven startup focused on building scalable digital infrastructure for education and healthcare institutions.

The company develops cloud-based SaaS platforms, including Gnanavyuham (school management system) and Medivyuham (healthcare management system), designed to streamline operations, enhance data-driven decision-making, and improve communication across stakeholders.

KrinSys leverages modern technologies to provide multi-tenant, role-based solutions that are accessible, configurable, and scalable for institutions of varying sizes, particularly in Tier 2 and Tier 3 regions.

With a vision of “Where Education Meets Care,” KrinSys aims to unify institutional management under a single digital ecosystem, enabling efficiency, transparency, and long-term scalability.",https://krinsys.com/,IT Services
SRINIJA PROJECTS PRIVATE LIMITED,"Srinija Projects Pvt. Ltd. is a construction and infrastructure company focused on delivering cost-efficient and high-quality building solutions. Leveraging local material sourcing and optimized manpower, the company ensures faster execution, reduced costs, and reliable project delivery for residential, commercial, and civil works.",https://www.startupindia.gov.in,Construction
EVOTECH MODERN SOLUTIONS PRIVATE LIMITED,"Evotech Modern Solution Private Limited is an AI-powered SaaS company focused on revolutionizing professional productivity through intelligent automation. We design, develop, and deploy software products that leverage cutting-edge artificial intelligence to solve real-world challenges faced by professionals, job seekers, and businesses.",evotechmodernsolutions.tech,AI
KHISE DIGITAL SOLUTION PRIVATE LIMITED,"Khise Digital Solution (KDS) is a technology-driven startup focused on building scalable digital solutions to simplify workforce management and business operations for small and medium-sized enterprises (SMEs) in India.

Founded with a strong background in full-stack software development, KDS aims to bridge the gap between complex enterprise systems and the practical needs of growing businesses. We specialize in designing and developing cloud-based platforms that automate manual processes, improve operational efficiency, and ensure regulatory compliance.

Our approach is centered on delivering high-quality, reliable, and cost-effective solutions that are easy to adopt and scale. By leveraging modern technologies and a deep understanding of business workflows, we enable organizations to transition from traditional, manual systems to fully digital ecosystems.",https://khisedigital.in/,IT Services
B&amp;R ENGINEERING SERVICES LLP,"B&amp;R Engineering Services LLP provides specialized engineering solutions for repair, rehabilitation and strengthening of reinforced concrete structures using advanced materials and modern techniques such as polymer grouting, structural retrofitting and durability enhancement systems, waterproofing etc.
The company focuses on innovative engineering methods that extend the service life of infrastructure, reduce construction waste and improve structural safety. Our business model is scalable across infrastructure, industrial and residential sectors and has strong potential to generate skilled employment in engineering, construction supervision and specialized repair works.",https://bnrenggservices.com,Construction
CONASPHERE TECHNOLOGIES PRIVATE LIMITED,"DoctorLab is a healthcare technology startup focused on simplifying access to diagnostic lab tests and health checkups. The platform helps users discover nearby pathology labs, compare prices, book tests online, schedule home sample collection, and access digital reports conveniently. DoctorLab aims to make diagnostic services more transparent, affordable, and accessible by connecting users with trusted local laboratories through a user-friendly digital platform.
",https://www.doctorlab.in/,IT Services
REHOBOTH COUNCIL,"REHOBOTH COUNCIL is a social impact–driven startup operating in the domain of corporate social responsibility (CSR), focused on creating sustainable and inclusive development initiatives. The organization works with communities, corporates, and institutions to design and implement programs in areas such as education, skill development, healthcare, and environmental sustainability",https://www.thecompanycheck.com/company/rehoboth-council/U88900AP2026NPL124141,Social Impact
SKYNEX FINBIZZ PRIVATE LIMITED,"SKYNEX FINBIZZ PRIVATE LIMITED is a professionally driven financial consultancy and business support company focused on delivering integrated solutions to businesses and individuals. The Company specializes in preparing and executing business plans, project reports, financial models, CMA data, and loan proposals, enabling clients to secure funding and scale operations effectively.
In addition, the Company provides end-to-end accounting, bookkeeping, payroll processing, MIS reporting, and operational support services, ensuring smooth and compliant business functioning.
The Company also represents and liaises on behalf of clients with banks, NBFCs, financial institutions, insurance companies, mutual fund houses, and regulatory authorities, facilitating seamless financial transactions and approvals.
To expand its service capabilities, SKYNEX FINBIZZ PRIVATE LIMITED actively seeks collaborations, strategic alliances, and agency partnerships with financial institutions and service providers, ensuring enhanced value delivery and comprehensive support to its clients.",NIL,Professional & Commercial Services
GOCLOUDSTUDIO PRIVATE LIMITED,"The startup offers an AI-driven platform that combines behavioral interviews and coding assessments into a single workflow, along with AI-augmented development services, enabling faster hiring, improved candidate matching, and accelerated project delivery.",https://www.gocloudstudio.com/,IT Services
LOTUS INFOSYSTEM,"We empower businesses with cutting - edge technology, robust security and scalable solutions that drive long tem growth and success.",www.lotusinfosystem.com,IT Services
CHETAAMRUTT PRIVATE LIMITED,"BeMyMentor is a digital platform connecting students and early professionals with industry mentors. It provides personalized guidance, practical insights, and structured support through one-on-one sessions and programs, helping users gain clarity, confidence, and make informed career decisions.
",https://bemymentor.world,Education
ADVAITA CYBERNETICS PRIVATE LIMITED,"Advaita Cybernetics Private Limited is an Indian deep-tech startup pioneering the development of the world's first biologically accurate artificial general intelligence (AGI) system. Founded with the vision of creating machines that genuinely think, reason, learn, and evolve like the human brain, the company operates at the intersection of computational neuroscience, neuromorphic engineering, advanced robotics, and custom semiconductor design.
Unlike the current generation of artificial intelligence — large language models (LLMs) such as ChatGPT, Gemini, and Claude — which rely on statistical pattern matching over massive text corpora to predict the next word, our flagship platform TrinetraAI takes a fundamentally different approach. TrinetraAI is built on a spiking neural network (SNN) architecture modeled after the actual biological mechanisms of the human brain: 86 billion neurons with spike-timing-dependent plasticity (STDP), hippocampal memory, spreading activation for domain routing, first-principles reasoning from typed axioms, and biological sleep cycles for memory consolidation and creative synthesis.
The company's name ""Advaita"" (अद्वैत) is a Sanskrit philosophical term meaning ""non-dual"" — reflecting our core belief that consciousness and computation are not separate phenomena but two manifestations of the same underlying intelligence. This philosophy drives our engineering: rather than building narrow AI tools that mimic intelligence superficially, we are constructing a complete artificial being — brain, body, neuromorphic processor, custom GPU, and energy source.
Advaita Cybernetics is a full-stack AI company with no dependency on external AI providers. We design our own intelligence, hardware to run it, humanoid bodies to embody it, vision system to perceive the world, and energy core to power it Hridaya. This complete vertical integration — from silicon to cognition to embodiment — is unprecedented in the global AI industry.",advaitacybernetics.com,AI
THE ESSENTIAL NUTRA PRIVATE LIMITED,"We are building this company with one clear intention — to give children better, safer, and truly nourishing food options.

Today, many products made for kids are filled with excessive sugar, artificial additives, and ingredients that don’t support their long-term health. As people who deeply care about what goes into our bodies, we felt there was a need for something better — something parents can trust without second-guessing.

Our brand focuses on creating clean, functional nutrition for children by combining the goodness of everyday food with carefully chosen, science-backed ingredients.

We are committed to using only clean, high-quality ingredients, with no harmful additives, or unnecessary fillers. While our products deliver added nutritional benefits, they are made to feel familiar, enjoyable, and easy to include in a child’s daily routine.

At our core, we believe that nutrition should not feel like medicine — it should feel natural, safe, and made with care. Our goal is to build a brand that parents trust, children love, and families can rely on for better everyday choices.

Because when it comes to children’s health, only the best should be good enough.",theritualshift.com,Healthcare & Lifesciences
CLUES LABS (OPC) PRIVATE LIMITED,"Clu is a technology driven hyperlocal marketplace comprising two applications, Clu (customer app) and Clu Partner (service provider app), designed to organize and digitize local service delivery in India while empowering local service providers.

Clu (customer app) connects users with trusted nearby service providers such as electricians, plumbers, laundry partners, car washers, pest control professionals, gardeners, and other skilled workers. The platform simplifies service discovery, booking, and payments through a seamless digital interface, improving accessibility and transparency for consumers.

Clu Partner (service provider app) enables local service professionals to onboard digitally, manage bookings, and access a wider customer base. It provides tools for scheduling, service management, and demand aggregation, empowering local service providers to improve operational efficiency and increase income opportunities within a structured ecosystem.",https://cluapp.in,IT Services
VANAE BY EISHA (OPC) PRIVATE LIMITED,Vanae is a women led sustainable fashion startup focused on designing modern eco friendly apparel using ethical sourcing and responsible production practices. The brand operates through a direct to consumer model with outsourced manufacturing and leverages digital platforms to reach customers across India. Vanae emphasizes minimal and timeless design while ensuring quality and scalability. The company aims to build a circular fashion ecosystem by introducing recycled fabric innovation from plastic waste and plans to expand through offline retail stores in metropolitan cities while strengthening its sustainable supply chain.,https://vanae.in/,Textiles & Apparel
REHABIPHY HEALTH TECHNOLOGIES PRIVATE LIMITED,"Rehabiphy Health Technologies Private Limited is an innovative health-tech startup transforming the way individuals approach rehabilitation and preventive wellness. Operating at the intersection of physiotherapy and digital health, Rehabiphy offers personalized, remote-first rehabilitation services tailored to modern lifestyles, especially for sedentary professionals facing posture-related and chronic health issues.
The platform integrates expert physiotherapy consultations, ergonomic correction, and customized recovery plans with its unique product, FitHabit—a gamified habit-building ecosystem that encourages users to adopt healthier daily routines such as walking, hydration, and exercise. By rewarding consistency through a coin-based system, Rehabiphy enhances user engagement and long-term adherence to wellness practices.
Positioned as a full-stack wellness ecosystem, Rehabiphy not only addresses pain management but also promotes proactive health improvement by connecting users with fitness services like gyms, yoga centers, and nutrition experts, ultimately reducing reliance on reactive healthcare.",www.rehabiphy.com,Healthcare & Lifesciences
PHOENIXINSIGHTS PRIVATE LIMITED,"PhoenixInsights Pvt. Ltd. provides AI and data analytics solutions for predictive modeling, automation, and business intelligence. It helps businesses make real-time decisions by integrating AI systems directly into workflows.",https://phoenixinsightsai.com/,Analytics
CAMPUSGARH PRIVATE LIMITED,"CampusGarh is an education startup offering personalized career counseling and admission guidance for students after Class 12 and graduation. With a student-first approach, it provides transparent, verified information on colleges and courses, helping students make informed, confident decisions for their future.",https://campusgarh.com/,Education
SUVARI RESOURCE RECOVERY PRIVATE LIMITED,"Suvari Resource Recovery Pvt. Ltd. is an emerging deep-tech venture in the circular economy sector, dedicated to the industrial-scale conversion of organic waste into high-value resources. Based in Kerala, the company bridges the gap between laboratory research and real-world industrial application through advanced biotechnology and chemical engineering.",www.suvarirecovery.com,Waste Management
TRUESECUR TECHNOLOGIES LLP,"TrueSecur Technologies LLP is an AI-native cybersecurity startup incorporated on 21 November 2025, focused on building proprietary products and productized services in AI governance, AI-based SOC maturity assessment, digital forensics, and enterprise cybersecurity. The company was founded to address a major gap in the market: traditional cybersecurity assessments and governance models are largely static, manual, and not designed for AI-era risks such as insecure enterprise AI adoption, prompt injection, model misuse, sensitive data leakage, and evolving SOC capability requirements.

TrueSecur is developing technology-led solutions that combine cybersecurity engineering, assessment frameworks, automation, and applied research. Its current focus areas include an AI-based SOC maturity platform designed to make security assessment more evidence-driven and scalable, and an enterprise AI governance platform intended to help organizations adopt external AI systems securely through policy enforcement, monitoring, and data protection controls.
Since launch, the company has already generated approximately INR 6.5 lakh in revenue, demonstrating early commercial validation. TrueSecur has executed paid cybersecurity work for enterprise customers, including digital forensics-related solution development in the drone ecosystem. The founder has also delivered cybersecurity services connected to the IITM Pravartak ecosystem through a third party and holds an appointment as a consultant-ad.  The company is pursuing enterprise opportunities for its AI governance and AI-native security offerings while contributing to confidential strategic govt projects that cannot be publicly disclosed due to sensitivity and contractual restrictions.
TrueSecur operates with a long-term vision of transitioning from consulting-led execution to scalable platform-led cybersecurity products. Its business model combines B2B SaaS, APIs, specialized cybersecurity services, and research-driven solutions",www.truesecur.com,Security Solutions
WEFETCH TECHNOLOGIES PRIVATE LIMITED,"Wefetch is a sustainability and ESG services company that provides subscription-based virtual sustainability teams for small and medium enterprises (SMEs). We help businesses manage ESG reporting, regulatory compliance, and carbon tracking without the need for in-house teams.

Our services cover global and regional frameworks such as CBAM, BRSR, GRI, and EcoVadis. By combining domain expertise with technology-enabled workflows, we simplify complex sustainability requirements and make compliance affordable, scalable, and continuous.

Wefetch aims to bridge the gap between growing regulatory demands and limited in-house capabilities of SMEs, enabling them to become globally competitive and environmentally responsible.",https://www.wefetch.tech/,Professional & Commercial Services
SHREEKARI LOCOTECH SERVICES,"Shreekari Locotech Services is a professional maintenance and infrastructure solutions provider specializing in government tenders. We are committed to delivering high-quality upkeep, repair, and engineering services across a wide range of infrastructure and industrial projects, strictly adhering to government standards and regulatory requirements. We majorly focus on railway projects.

With a focus on efficiency, reliability, and innovation, we continuously strive to enhance service quality while reducing project turnaround time. Our approach integrates modern techniques and streamlines processes to deliver effective and sustainable solutions.

Our Services
We offer a comprehensive range of services, including:
1. Civil, Mechanical, and Electrical Works- Complete execution of engineering and infrastructure projects.
2. Technical &amp; Hardware Support - Supply, maintenance, and repair of machinery and equipment.
3. Maintenance &amp; Repair Solutions- Rehabilitation, fabrication, overhauling, welding, and painting of wagons and industrial assets.
4. Workshop &amp; Housekeeping Support- Efficient operational support for workshops and industrial facilities.
5. Electrical Installations- Installation of electrical equipment for general and industrial purposes.
6. Motor Works - Servicing, repair, and maintenance of motors and related systems.
7. Transportation Services - Reliable logistics solutions for goods and general operational needs.
8. Material Procurement - Sourcing and supply of quality materials for project requirements.
9. Manpower Supply- Provision of skilled and unskilled workforce for various operational needs.",https://www.shreekarilocotechservices.com/,Professional & Commercial Services
Urjiva Bioinnovations,"Along with agritech solutions, our startup is developing a novel bio-integrated platform for sustainable resource recovery that utilizes engineered plant–microbe systems to extract valuable elements from low-grade sources such as industrial residues, mine tailings, and marginal soils. By combining rhizosphere-driven mobilization with biological accumulation and controlled downstream processing, we convert diffuse resources into concentrated, refinery-compatible feedstock. This approach offers a low-energy, environmentally responsible alternative to conventional extraction methods, while also enabling on-site waste remediation. Designed as a modular and adaptable system, the technology can be deployed across diverse feedstocks and geographies, supporting circular economy goals, improving resource efficiency, and strengthening sustainable industrial supply chains.",urjivabio.com,Green Technology
